
##############################################

      Principal: 117600.00
           Term: 360 months
    Annual Rate: 6.375%
  Periodic Rate: 0.0053125

Monthly Payment:   733.67

Month     Interest   Principal       Balance
    1      624.75      108.92       117491.08
    2      624.17      109.50       117381.58
    3      623.59      110.08       117271.50
    4      623.00      110.67       117160.83
    5      622.42      111.25       117049.58
    6      621.83      111.85       116937.73
    7      621.23      112.44       116825.29
    8      620.63      113.04       116712.26
    9      620.03      113.64       116598.62
   10      619.43      114.24       116484.38
   11      618.82      114.85       116369.53
   12      618.21      115.46       116254.07
   13      617.60      116.07       116138.00
   14      616.98      116.69       116021.31
   15      616.36      117.31       115904.01
   16      615.74      117.93       115786.08
   17      615.11      118.56       115667.52
   18      614.48      119.19       115548.33
   19      613.85      119.82       115428.51
   20      613.21      120.46       115308.05
   21      612.57      121.10       115186.96
   22      611.93      121.74       115065.22
   23      611.28      122.39       114942.83
   24      610.63      123.04       114819.79
   25      609.98      123.69       114696.10
   26      609.32      124.35       114571.75
   27      608.66      125.01       114446.74
   28      608.00      125.67       114321.07
   29      607.33      126.34       114194.73
   30      606.66      127.01       114067.72
   31      605.98      127.69       113940.03
   32      605.31      128.36       113811.67
   33      604.62      129.05       113682.62
   34      603.94      129.73       113552.89
   35      603.25      130.42       113422.47
   36      602.56      131.11       113291.35
   37      601.86      131.81       113159.54
   38      601.16      132.51       113027.03
   39      600.46      133.21       112893.82
   40      599.75      133.92       112759.90
   41      599.04      134.63       112625.26
   42      598.32      135.35       112489.91
   43      597.60      136.07       112353.84
   44      596.88      136.79       112217.05
   45      596.15      137.52       112079.53
   46      595.42      138.25       111941.29
   47      594.69      138.98       111802.30
   48      593.95      139.72       111662.58
   49      593.21      140.46       111522.12
   50      592.46      141.21       111380.91
   51      591.71      141.96       111238.95
   52      590.96      142.71       111096.23
   53      590.20      143.47       110952.76
   54      589.44      144.23       110808.53
   55      588.67      145.00       110663.53
   56      587.90      145.77       110517.76
   57      587.13      146.55       110371.21
   58      586.35      147.32       110223.89
   59      585.56      148.11       110075.78
   60      584.78      148.89       109926.89
   61      583.99      149.68       109777.20
   62      583.19      150.48       109626.72
   63      582.39      151.28       109475.44
   64      581.59      152.08       109323.36
   65      580.78      152.89       109170.47
   66      579.97      153.70       109016.77
   67      579.15      154.52       108862.25
   68      578.33      155.34       108706.91
   69      577.51      156.17       108550.74
   70      576.68      157.00       108393.75
   71      575.84      157.83       108235.92
   72      575.00      158.67       108077.25
   73      574.16      159.51       107917.74
   74      573.31      160.36       107757.38
   75      572.46      161.21       107596.17
   76      571.60      162.07       107434.11
   77      570.74      162.93       107271.18
   78      569.88      163.79       107107.39
   79      569.01      164.66       106942.72
   80      568.13      165.54       106777.18
   81      567.25      166.42       106610.77
   82      566.37      167.30       106443.47
   83      565.48      168.19       106275.28
   84      564.59      169.08       106106.19
   85      563.69      169.98       105936.21
   86      562.79      170.88       105765.33
   87      561.88      171.79       105593.53
   88      560.97      172.71       105420.83
   89      560.05      173.62       105247.20
   90      559.13      174.55       105072.66
   91      558.20      175.47       104897.19
   92      557.27      176.40       104720.78
   93      556.33      177.34       104543.44
   94      555.39      178.28       104365.16
   95      554.44      179.23       104185.93
   96      553.49      180.18       104005.74
   97      552.53      181.14       103824.60
   98      551.57      182.10       103642.50
   99      550.60      183.07       103459.43
  100      549.63      184.04       103275.39
  101      548.65      185.02       103090.37
  102      547.67      186.00       102904.36
  103      546.68      186.99       102717.37
  104      545.69      187.98       102529.39
  105      544.69      188.98       102340.40
  106      543.68      189.99       102150.41
  107      542.67      191.00       101959.42
  108      541.66      192.01       101767.41
  109      540.64      193.03       101574.37
  110      539.61      194.06       101380.32
  111      538.58      195.09       101185.23
  112      537.55      196.12       100989.10
  113      536.50      197.17       100791.94
  114      535.46      198.21       100593.72
  115      534.40      199.27       100394.46
  116      533.35      200.33       100194.13
  117      532.28      201.39        99992.74
  118      531.21      202.46        99790.28
  119      530.14      203.54        99586.75
  120      529.05      204.62        99382.13
  121      527.97      205.70        99176.43
  122      526.87      206.80        98969.63
  123      525.78      207.89        98761.74
  124      524.67      209.00        98552.74
  125      523.56      210.11        98342.63
  126      522.45      211.23        98131.40
  127      521.32      212.35        97919.05
  128      520.19      213.48        97705.58
  129      519.06      214.61        97490.97
  130      517.92      215.75        97275.22
  131      516.77      216.90        97058.32
  132      515.62      218.05        96840.27
  133      514.46      219.21        96621.07
  134      513.30      220.37        96400.69
  135      512.13      221.54        96179.15
  136      510.95      222.72        95956.43
  137      509.77      223.90        95732.53
  138      508.58      225.09        95507.44
  139      507.38      226.29        95281.15
  140      506.18      227.49        95053.66
  141      504.97      228.70        94824.96
  142      503.76      229.91        94595.05
  143      502.54      231.13        94363.91
  144      501.31      232.36        94131.55
  145      500.07      233.60        93897.95
  146      498.83      234.84        93663.12
  147      497.59      236.09        93427.03
  148      496.33      237.34        93189.69
  149      495.07      238.60        92951.09
  150      493.80      239.87        92711.22
  151      492.53      241.14        92470.08
  152      491.25      242.42        92227.65
  153      489.96      243.71        91983.94
  154      488.66      245.01        91738.94
  155      487.36      246.31        91492.63
  156      486.05      247.62        91245.01
  157      484.74      248.93        90996.08
  158      483.42      250.25        90745.83
  159      482.09      251.58        90494.24
  160      480.75      252.92        90241.32
  161      479.41      254.26        89987.06
  162      478.06      255.61        89731.44
  163      476.70      256.97        89474.47
  164      475.33      258.34        89216.13
  165      473.96      259.71        88956.42
  166      472.58      261.09        88695.33
  167      471.19      262.48        88432.86
  168      469.80      263.87        88168.98
  169      468.40      265.27        87903.71
  170      466.99      266.68        87637.03
  171      465.57      268.10        87368.93
  172      464.15      269.52        87099.41
  173      462.72      270.96        86828.45
  174      461.28      272.39        86556.05
  175      459.83      273.84        86282.21
  176      458.37      275.30        86006.92
  177      456.91      276.76        85730.16
  178      455.44      278.23        85451.93
  179      453.96      279.71        85172.22
  180      452.48      281.19        84891.03
  181      450.98      282.69        84608.34
  182      449.48      284.19        84324.15
  183      447.97      285.70        84038.45
  184      446.45      287.22        83751.23
  185      444.93      288.74        83462.49
  186      443.39      290.28        83172.21
  187      441.85      291.82        82880.40
  188      440.30      293.37        82587.03
  189      438.74      294.93        82292.10
  190      437.18      296.49        81995.61
  191      435.60      298.07        81697.54
  192      434.02      299.65        81397.88
  193      432.43      301.24        81096.64
  194      430.83      302.85        80793.79
  195      429.22      304.45        80489.34
  196      427.60      306.07        80183.27
  197      425.97      307.70        79875.57
  198      424.34      309.33        79566.24
  199      422.70      310.98        79255.26
